id genecolor
PrileiEVm000392t1 #FEC960
PrileiEVm000394t1 #93C5FB
PrileiEVm000395t1 #ECE44C
PrileiEVm000396t1 #4565B2
PrileiEVm000397t1 #FFCC33
PrileiEVm000399t1 #FFBE96
PrileiEVm000400t1 #585858
PrileiEVm000401t1 #1E90FF
PrileiEVm000402t1 #FFE7A3
PrileiEVm000403t1 #E066FF
PrileiEVm000404t1 #ECE44C
PrileiEVm000405t1 #A2B63C
PrileiEVm000406t1 #074722
PrileiEVm000407t1 #DDCDCC
PrileiEVm000408t1 #82B3A9
PrileiEVm000409t1 #E066FF
PrileiEVm000410t1 #4565B2
PrileiEVm000411t1 #FFE7A3
PrileiEVm000412t1 #FEE391
PrileiEVm000413t1 #FFE7A3
PrileiEVm000414t1 #FA9E42
PrileiEVm000415t1 #FFAE7D
PrileiEVm000416t1 #82B3A9
PrileiEVm000417t1 #EE5C42
PrileiEVm000418t1 #FFAE7D
PrileiEVm000419t1 #DDCDCC
PrileiEVm000420t1 #79882D
PrileiEVm000421t1 #FFAE7D
PrileiEVm000422t1 #8DFFCF
PrileiEVm000423t1 #ECE44C
PrileiEVm000424t1 #021AE0
PrileiEVm000425t1 #8DFFCF
PrileiEVm000426t1 #FF8BC9
PrileiEVm000427t1 #7F6FAF
PrileiEVm000428t1 #DDCDCC
PrileiEVm000429t1 #585858
PrileiEVm000430t1 #D26666
PrileiEVm000431t1 #FFE7A3
PrileiEVm000432t1 #B22222
PrileiEVm000433t1 #1E90FF
PrileiEVm000434t1 #8B8B00
PrileiEVm000435t1 #FFE7A3
PrileiEVm000436t1 #4565B2
PrileiEVm000437t1 #FA9E42
PrileiEVm000438t1 #FEC960
PrileiEVm000439t1 #FFCC33
PrileiEVm000440t1 #FFE7A3
PrileiEVm000441t1 #FA9E42
PrileiEVm000442t1 #EC7014
PrileiEVm000443t1 #DDCDCC
PrileiEVm000444t1 #FFCC33
PrileiEVm000445t1 #FF8BC9
PrileiEVm000446t1 #585858
PrileiEVm000447t1 #6A1414
PrileiEVm000448t1 #FA9E42
PrileiEVm000449t1 #93C5FB
PrileiEVm000450t1 #D26666
PrileiEVm000451t1 #CF9356
PrileiEVm000452t1 #6841A8
PrileiEVm000453t1 #FA9E42
PrileiEVm000454t1 #D26666
PrileiEVm000455t1 #DDCDCC
PrileiEVm000456t1 #B5B5B5
PrileiEVm000457t1 #7F6FAF
PrileiEVm000458t1 #FFAE7D
PrileiEVm000459t1 #FFE7A3
PrileiEVm000460t1 #FFE7A3
PrileiEVm000461t1 #32CD32
PrileiEVm000462t1 #FEC960
PrileiEVm000463t1 #82B3A9
PrileiEVm000464t1 #FF2F80
PrileiEVm000465t1 #6D4C2B
PrileiEVm000466t1 #FFE7A3
PrileiEVm000467t1 #7F6FAF
PrileiEVm000468t1 #FFBE96
PrileiEVm000469t1 #7F6FAF
PrileiEVm000470t1 #FA9E42
PrileiEVm000471t1 #E066FF
PrileiEVm000472t1 #585858
PrileiEVm000473t1 #1E90FF
PrileiEVm000474t1 #FFCC33
PrileiEVm000475t1 #FDA8A8
PrileiEVm000476t1 #FF8BC9
PrileiEVm000477t1 #004370
PrileiEVm000478t1 #EC7014
PrileiEVm000479t1 #585858
PrileiEVm000480t1 #A2B63C
PrileiEVm000481t1 #FF8BC9
PrileiEVm000482t1 #FFAE7D
PrileiEVm000483t1 #074722
PrileiEVm000484t1 #6D4C2B
PrileiEVm000485t1 #002E4E
PrileiEVm000486t1 #DDCDCC
PrileiEVm000487t1 #FFCC33
PrileiEVm000488t1 #82B3A9
PrileiEVm000489t1 #8DFFCF
PrileiEVm000490t1 #FFAE7D
PrileiEVm000491t1 #4565B2
PrileiEVm000492t1 #ECE44C
PrileiEVm000493t1 #E066FF
PrileiEVm000494t1 #ECE44C
PrileiEVm000495t1 #FFAE7D
PrileiEVm000496t1 #FFBE96
PrileiEVm000497t1 #82B3A9
PrileiEVm000498t1 #FFCC33
PrileiEVm000499t1 #FF8BC9
PrileiEVm000500t1 #4565B2
PrileiEVm000501t1 #56A0CE
PrileiEVm000502t1 #4565B2
PrileiEVm000503t1 #FF8BC9
PrileiEVm000504t1 #1E90FF
PrileiEVm000505t1 #021AE0
PrileiEVm000506t1 #EC7014
PrileiEVm000507t1 #021AE0
PrileiEVm000508t1 #EC7014
PrileiEVm000509t1 #FFE7A3
PrileiEVm000510t1 #FA9E42
PrileiEVm000511t1 #8B8B00
PrileiEVm000512t1 #82B3A9
PrileiEVm000513t1 #E066FF
PrileiEVm000514t1 #1E90FF
PrileiEVm000515t1 #78A4D0
PrileiEVm000516t1 #FF8BC9
PrileiEVm000517t1 #FFE7A3
PrileiEVm000518t1 #6BAED6
PrileiEVm000519t1 #78A4D0
PrileiEVm000520t1 #7F6FAF
PrileiEVm000521t1 #6D4C2B
PrileiEVm000522t1 #FFAE7D
PrileiEVm000523t1 #BCEE68
PrileiEVm000524t1 #6D4C2B
PrileiEVm000526t1 #FEE391
PrileiEVm000527t1 #6D4C2B
PrileiEVm000528t1 #ECE44C
PrileiEVm000529t1 #D26666
PrileiEVm000530t1 #8B8B00
PrileiEVm000531t1 #E066FF
PrileiEVm000532t1 #B5B5B5
PrileiEVm000533t1 #074722
PrileiEVm000534t1 #A2B63C
PrileiEVm000535t1 #FF8BC9
PrileiEVm000536t1 #8DFFCF
PrileiEVm000537t1 #585858
PrileiEVm000538t1 #ECE44C
PrileiEVm000539t1 #FFE7A3
PrileiEVm000540t1 #D26666
PrileiEVm000541t1 #CF9356
PrileiEVm000542t1 #FFAE7D
PrileiEVm000543t1 #004370
PrileiEVm000544t1 #FFCC33
PrileiEVm000545t1 #FF8BC9
PrileiEVm000546t1 #4565B2
PrileiEVm000547t1 #A2B63C
PrileiEVm000548t1 #1E90FF
PrileiEVm000549t1 #4565B2
PrileiEVm000550t1 #ECE44C
PrileiEVm000551t1 #CF9356
PrileiEVm000552t1 #FFCC33
PrileiEVm000553t1 #DDCDCC
PrileiEVm000554t1 #93C5FB
PrileiEVm000555t1 #1E90FF
PrileiEVm000556t1 #B22222
PrileiEVm000557t1 #021AE0
PrileiEVm000558t1 #FA9E42
PrileiEVm000559t1 #FFE7A3
PrileiEVm000560t1 #021AE0
PrileiEVm000561t1 #4D9385
PrileiEVm000562t1 #4D9385
PrileiEVm000563t1 #FEE391
PrileiEVm000564t1 #82B3A9
PrileiEVm000565t1 #CF9356
PrileiEVm000566t1 #585858
PrileiEVm000567t1 #4565B2
PrileiEVm000568t1 #FFCC33
PrileiEVm000569t1 #004370
PrileiEVm000570t1 #82B3A9
PrileiEVm000571t1 #585858
PrileiEVm000573t1 #002E4E
PrileiEVm000574t1 #B5D6EA
PrileiEVm000575t1 #CF9356
PrileiEVm000576t1 #585858
PrileiEVm000577t1 #32CD32
PrileiEVm000578t1 #79882D
PrileiEVm000579t1 #E066FF
PrileiEVm000580t1 #002E4E
PrileiEVm000581t1 #021AE0
PrileiEVm000582t1 #FF8BC9
PrileiEVm000583t1 #FDA8A8
PrileiEVm000584t1 #E066FF
PrileiEVm000585t1 #FFBE96
PrileiEVm000586t1 #004370
PrileiEVm000587t1 #CF9356
PrileiEVm000588t1 #FFCC33
PrileiEVm000589t1 #FEE391
PrileiEVm000590t1 #93C5FB
PrileiEVm000591t1 #FEE391
PrileiEVm000592t1 #D26666
PrileiEVm000593t1 #82B3A9
PrileiEVm000594t1 #4565B2
PrileiEVm000595t1 #021AE0
PrileiEVm000596t1 #004370
PrileiEVm000597t1 #4565B2
PrileiEVm000598t1 #585858
PrileiEVm000599t1 #E066FF
PrileiEVm000600t1 #1E90FF
PrileiEVm000601t1 #F3C9DE
PrileiEVm000602t1 #EC7014
PrileiEVm000603t1 #585858
PrileiEVm000604t1 #82B3A9
PrileiEVm000605t1 #4565B2
PrileiEVm000606t1 #1E90FF
PrileiEVm000607t1 #021AE0
PrileiEVm000608t1 #82B3A9
PrileiEVm000609t1 #FFCC33
PrileiEVm000610t1 #E066FF
PrileiEVm000611t1 #E066FF
