	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
PrileiEVm000085t1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000086t1	0	1	0	0	1	3	6	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	40	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000087t1	1	5	3	0	7	0	2	9	12	38	0	0	0	0	24	44	3	0	9	26	0	2	5	1	0	0	0	0	2	2	1	6	1	1	0	1	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000088t1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000089t1	37	0	0	0	0	0	0	0	0	0	1	5	0	6	2	0	0	0	0	0	46	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000090t1	134	159	149	35	77	27	42	57	137	287	10	11	0	18	265	296	88	3	36	106	9	11	24	72	3	4	38	0	65	14	14	31	13	3	10	2	4	2	2	23	4	1	9	3	1	5	3	1	3	5	2	0	1	0	0	4	1	0	0
PrileiEVm000091t1	18	11	12	2	4	3	2	3	7	15	0	0	0	1	6	11	3	0	1	1	3	0	1	4	1	0	4	0	2	1	3	3	1	0	1	0	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PrileiEVm000092t1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PrileiEVm000093t1	2	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000094t1	2	1	2	0	4	1	4	0	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000095t1	0	0	1	0	14	15	4	0	3	1	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000096t1	19	19	13	0	4	1	1	4	12	17	3	3	0	1	4	8	6	0	3	2	3	1	1	1	0	1	3	0	1	0	0	4	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000097t1	0	0	1	0	2	2	2	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000098t1	0	0	0	1	1	27	32	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000099t1	0	4	0	1	1	1	2	0	1	171	1	0	4	0	86	91	16	0	5	78	0	0	0	5	0	0	0	0	0	0	0	55	1	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000100t1	10	11	13	0	5	0	1	1	10	8	0	1	0	0	7	10	1	1	0	5	3	0	2	4	1	0	3	0	0	0	0	1	3	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PrileiEVm000101t1	110	76	85	49	13	3	10	7	18	246	5	11	4	11	160	242	63	0	25	76	8	8	26	77	2	6	27	1	34	9	1	28	8	2	11	0	0	0	0	23	2	1	12	0	6	3	0	0	0	2	1	0	2	0	0	0	1	0	0
PrileiEVm000102t1	15	0	2	1	0	0	0	1	0	3	0	1	0	2	3	1	3	0	5	0	0	3	6	1	1	0	3	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
PrileiEVm000103t1	1	1	0	3	0	0	0	0	0	72	1	0	2	0	40	43	10	0	3	37	0	0	0	3	0	0	0	1	1	0	0	17	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
